domain,hit_count
tracker.yfanads.com,2
mb.yidianzixun.com,2
pcapp-data-collect.youku.com,242
val.atm.youku.com,14
api.yunxish.com,46
cdn.yunxish.com,8
cpc-service-square.yunxish.com,8
docs.yunxish.com,2
logrcv.yunxish.com,38
sdk-ab-config-cdn.yunxish.com,8
usr-api.yunxish.com,10
ks.pull.yximgs.com,15
tx-kmpaudio.pull.yximgs.com,15
sentry-monitor-new.zdmimg.com,28
sdk.zhangyuyidong.cn,2
abtest3-misc-lf.zijieapi.com,6
ads3-normal-lf.zijieapi.com,36
ads3-normal.zijieapi.com,128
ads5-normal-lf.zijieapi.com,4
ads5-normal.zijieapi.com,8
applog.zijieapi.com,2
feedback-c.zijieapi.com,8
gecko3-lf.zijieapi.com,4
gecko5-lf.zijieapi.com,8
log-klink.zijieapi.com,498
log.zijieapi.com,19415
mcs.zijieapi.com,5
mon.zijieapi.com,351
mssdk.zijieapi.com,24
mssdk3-normal-hj.zijieapi.com,24
mssdk3-normal-lf.zijieapi.com,2
mssdk3-normal-lq.zijieapi.com,2
pc-mon.zijieapi.com,6662
polaris.zijieapi.com,3
polaris3-normal-hl.zijieapi.com,2
polaris3-normal-lf.zijieapi.com,4
polaris5-normal-hl.zijieapi.com,4
polaris5-normal-lf.zijieapi.com,6
polaris5-normal-lq.zijieapi.com,20
saveu5-normal-lq.zijieapi.com,40
timon.zijieapi.com,16
tnc0-aliec2.zijieapi.com,407
tnc0-alisc1.zijieapi.com,362
tnc3-aliec2.zijieapi.com,53
tnc3-alisc1.zijieapi.com,53
tnc3-bjlgy.zijieapi.com,55
vcs.zijieapi.com,188
syh.zybang.com,6
log-auth.zztfly.com,12
upc.zztfly.com,42
